"Samples ID" "F532 Median - B532" Name spotID
533 634 S1_0.1_T #4-611
533 2958 S1_0.1_S #4-621
533 3651 S1_0.25_S #4-631
533 4647 S1_0.5_S #4-641
533 1422 S1_0.1_B #4-651
533 3847 S1_0.25_B #4-661
533 3967 S1_0.5_B #4-671
533 1101 S-RBD_0.5_Y #4-681
533 3 S-RBD_0.25_S #4-691
533 690 S-RBD_0.5_S #4-6101
533 144 S2-1_0.05_T #4-6111
533 142 S2-2_0.1_T #4-6121
533 1295 N-protein_0.1_T #4-6131
533 3372 N-protein_0.05_K #4-6141
533 3627 N-protein_0.1_K #4-6151
533 3453 N-protein_0.2_K #4-6161
533 251 buffer #4-6171
533 1143 N-protein_0.1_W #4-6181
533 1766 N-protein_0.25_W #4-6191
533 2657 N-protein_0.5_W #4-6201
533 295 N-protein_0.1_S #4-6211
533 2092 N-protein_0.25_S #4-6221
533 3018 N-protein_0.5_S #4-6231
533 2853 N-Cter_0.1_K #4-6241
533 3105 N-Cter_0.25_K #4-6251
533 3448 N-Cter_0.5_K #4-6261
533 1138 N-Nter_0.1_K #4-6271
533 1440 N-Nter_0.25_K #4-6281
533 1551 N-Nter_0.5_K #4-6291
533 87 NSP2_0.05_K #4-6301
533 185 NSP2_0.1_K #4-6311
533 248 NSP2_0.25_K #4-6321
533 634 S1_0.1_T #4-612
533 2873 S1_0.1_S #4-622
533 3809 S1_0.25_S #4-632
533 4579 S1_0.5_S #4-642
533 1393 S1_0.1_B #4-652
533 3650 S1_0.25_B #4-662
533 3929 S1_0.5_B #4-672
533 1146 S-RBD_0.5_Y #4-682
533 1 S-RBD_0.25_S #4-692
533 679 S-RBD_0.5_S #4-6102
533 153 S2-1_0.05_T #4-6112
533 159 S2-2_0.1_T #4-6122
533 1213 N-protein_0.1_T #4-6132
533 3387 N-protein_0.05_K #4-6142
533 3230 N-protein_0.1_K #4-6152
533 2962 N-protein_0.2_K #4-6162
533 180 buffer #4-6172
533 1244 N-protein_0.1_W #4-6182
533 1670 N-protein_0.25_W #4-6192
533 2473 N-protein_0.5_W #4-6202
533 283 N-protein_0.1_S #4-6212
533 1939 N-protein_0.25_S #4-6222
533 3065 N-protein_0.5_S #4-6232
533 2871 N-Cter_0.1_K #4-6242
533 2998 N-Cter_0.25_K #4-6252
533 3217 N-Cter_0.5_K #4-6262
533 1082 N-Nter_0.1_K #4-6272
533 1354 N-Nter_0.25_K #4-6282
533 1555 N-Nter_0.5_K #4-6292
533 91 NSP2_0.05_K #4-6302
533 188 NSP2_0.1_K #4-6312
533 242 NSP2_0.25_K #4-6322
533 611 S1_0.1_T #4-613
533 2829 S1_0.1_S #4-623
533 3446 S1_0.25_S #4-633
533 4448 S1_0.5_S #4-643
533 1354 S1_0.1_B #4-653
533 3530 S1_0.25_B #4-663
533 3723 S1_0.5_B #4-673
533 1023 S-RBD_0.5_Y #4-683
533 6 S-RBD_0.25_S #4-693
533 658 S-RBD_0.5_S #4-6103
533 153 S2-1_0.05_T #4-6113
533 175 S2-2_0.1_T #4-6123
533 1198 N-protein_0.1_T #4-6133
533 3361 N-protein_0.05_K #4-6143
533 3043 N-protein_0.1_K #4-6153
533 2728 N-protein_0.2_K #4-6163
533 208 buffer #4-6173
533 1043 N-protein_0.1_W #4-6183
533 1618 N-protein_0.25_W #4-6193
533 2461 N-protein_0.5_W #4-6203
533 253 N-protein_0.1_S #4-6213
533 1953 N-protein_0.25_S #4-6223
533 2775 N-protein_0.5_S #4-6233
533 2894 N-Cter_0.1_K #4-6243
533 3076 N-Cter_0.25_K #4-6253
533 3111 N-Cter_0.5_K #4-6263
533 1037 N-Nter_0.1_K #4-6273
533 1352 N-Nter_0.25_K #4-6283
533 1432 N-Nter_0.5_K #4-6293
533 98 NSP2_0.05_K #4-6303
533 181 NSP2_0.1_K #4-6313
533 249 NSP2_0.25_K #4-6323
533 592 S1_0.1_T #4-614
533 2759 S1_0.1_S #4-624
533 3435 S1_0.25_S #4-634
533 4369 S1_0.5_S #4-644
533 1334 S1_0.1_B #4-654
533 3586 S1_0.25_B #4-664
533 3717 S1_0.5_B #4-674
533 1004 S-RBD_0.5_Y #4-684
533 4 S-RBD_0.25_S #4-694
533 619 S-RBD_0.5_S #4-6104
533 149 S2-1_0.05_T #4-6114
533 166 S2-2_0.1_T #4-6124
533 1214 N-protein_0.1_T #4-6134
533 3214 N-protein_0.05_K #4-6144
533 2809 N-protein_0.1_K #4-6154
533 2528 N-protein_0.2_K #4-6164
533 319 buffer #4-6174
533 1029 N-protein_0.1_W #4-6184
533 1395 N-protein_0.25_W #4-6194
533 2398 N-protein_0.5_W #4-6204
533 264 N-protein_0.1_S #4-6214
533 2020 N-protein_0.25_S #4-6224
533 2639 N-protein_0.5_S #4-6234
533 2816 N-Cter_0.1_K #4-6244
533 2968 N-Cter_0.25_K #4-6254
533 3146 N-Cter_0.5_K #4-6264
533 972 N-Nter_0.1_K #4-6274
533 1274 N-Nter_0.25_K #4-6284
533 1380 N-Nter_0.5_K #4-6294
533 85 NSP2_0.05_K #4-6304
533 176 NSP2_0.1_K #4-6314
533 241 NSP2_0.25_K #4-6324
533 60 E-protein_0.25_T #4-615
533 18 E-protein_0.1_K #4-625
533 47 E-protein_0.25_K #4-635
533 103 E-protein_0.5_K #4-645
533 132 NSP1_0.1_T #4-655
533 74 NSP1_0.1_K #4-665
533 94 NSP1_0.25_K #4-675
533 76 NSP1_0.5_K #4-685
533 4 NSP4_0.1_T #4-695
533 216 NSP5_0.1_T #4-6105
533 426 NSP5_0.25_T #4-6115
533 798 NSP5_0.5_T #4-6125
533 109 NSP5_0.1_K #4-6135
533 287 NSP5_0.25_K #4-6145
533 458 NSP5_0.5_K #4-6155
533 503 NSP7_0.1_T #4-6165
533 27 buffer #4-6175
533 782 NSP8_0.25_T #4-6185
533 147 NSP8_0.1_K #4-6195
533 166 NSP8_0.25_K #4-6205
533 184 NSP8_0.5_K #4-6215
533 1218 NSP9_0.25_T #4-6225
533 27 NSP9_0.1_K #4-6235
533 37 NSP9_0.25_K #4-6245
533 173 NSP9_0.5_K #4-6255
533 285 NSP10_0.1_T #4-6265
533 119 NSP10_0.2_T #4-6275
533 249 NSP10_0.3_T #4-6285
533 18 NSP10_0.1_K #4-6295
533 65 NSP10_0.25_K #4-6305
533 132 NSP10_0.5_K #4-6315
533 310 S1-4_0.2_K #4-6325
533 53 E-protein_0.25_T #4-616
533 15 E-protein_0.1_K #4-626
533 35 E-protein_0.25_K #4-636
533 111 E-protein_0.5_K #4-646
533 138 NSP1_0.1_T #4-656
533 72 NSP1_0.1_K #4-666
533 88 NSP1_0.25_K #4-676
533 79 NSP1_0.5_K #4-686
533 4 NSP4_0.1_T #4-696
533 198 NSP5_0.1_T #4-6106
533 426 NSP5_0.25_T #4-6116
533 787 NSP5_0.5_T #4-6126
533 96 NSP5_0.1_K #4-6136
